text,type,label,source_url,confidence,method
Mario,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Luigi,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Princess Peach,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Peach,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Bowser,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Yoshi,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Donkey Kong,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Toad,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Rosalina,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Princess Daisy,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Daisy,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Wario,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Waluigi,CHARACTER,Person,https://www.mariowiki.com/Mario,0.97,pattern
Goomba,ENEMY,Person,https://www.mariowiki.com/Mario,0.97,pattern
Shy Guy,ENEMY,Person,https://www.mariowiki.com/Mario,0.97,pattern
Boo,ENEMY,Person,https://www.mariowiki.com/Mario,0.97,pattern
Mushroom Kingdom,LOCATION,Location,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario Bros,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario Bros. 3,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario Bros. 2,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario World,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario Odyssey,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario Galaxy,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Mario Kart,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Mario Party,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Paper Mario,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Mario & Luigi,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Luigi's Mansion,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Yoshi's Island,GAME,GameTitle,https://www.mariowiki.com/Mario,0.97,pattern
Fire Flower,ITEM,Item,https://www.mariowiki.com/Mario,0.97,pattern
Super Mushroom,ITEM,Item,https://www.mariowiki.com/Mario,0.97,pattern
Super Star,ITEM,Item,https://www.mariowiki.com/Mario,0.97,pattern
Nintendo,ORG,Organization,https://www.mariowiki.com/Mario,0.97,pattern
Super Mario,PERSON,Person,https://www.mariowiki.com/Mario,0.8,nltk
Japanese,GPE,Location,https://www.mariowiki.com/Mario,0.8,nltk
