subject,subject_type,predicate,object,object_type,source_url,method
Mario,Person,co_occurs_with,Super Mario,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Japanese,Location,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Shigeru Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Japan,Location,https://www.mariowiki.com/Mario,cooccurrence
Japanese,Location,co_occurs_with,Shigeru Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Japanese,Location,co_occurs_with,Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Donkey Kong,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Jumpman,Person,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,Jumpman,Person,https://www.mariowiki.com/Mario,cooccurrence
Super Mario,Person,defeats,Fire Flower,Item,https://www.mariowiki.com/Mario,svo
Mario,Person,co_occurs_with,Nintendo,Organization,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Princess Peach,Person,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Peach,Person,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Bowser,Person,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Yoshi,Person,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Toad,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Radar Scope,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,North America,Location,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Hiroshi Yamauchi,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,America,Location,https://www.mariowiki.com/Mario,cooccurrence
Miyamoto,Person,co_occurs_with,Popeye,Location,https://www.mariowiki.com/Mario,cooccurrence
Miyamoto,Person,created_by,Mario,Person,https://www.mariowiki.com/Mario,svo
Japanese,Location,co_occurs_with,Japan,Location,https://www.mariowiki.com/Mario,cooccurrence
Japanese,Location,co_occurs_with,プレイヤー,Organization,https://www.mariowiki.com/Mario,cooccurrence
Japan,Location,co_occurs_with,プレイヤー,Organization,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,American,Location,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Jumpman,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Western,Location,https://www.mariowiki.com/Mario,cooccurrence
Japan,Location,co_occurs_with,American,Location,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,American,Location,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,America,Location,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Minoru Arakawa,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Don James,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Mario Segale,Person,https://www.mariowiki.com/Mario,cooccurrence
American,Location,co_occurs_with,America,Location,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Japan,Location,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,Japan,Location,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,Japanese,Location,https://www.mariowiki.com/Mario,cooccurrence
Super Mario,Person,saves,Princess Peach,Person,https://www.mariowiki.com/Mario,svo
Mario,Person,co_occurs_with,Mario Kart,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Mario Party,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Paper Mario,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario Kart,GameTitle,co_occurs_with,Mario Party,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario Kart,GameTitle,co_occurs_with,Paper Mario,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario Party,GameTitle,co_occurs_with,Paper Mario,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Luigi,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Yoshi,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Yoshi's Island,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Yoshi's Island,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Yoshi,Person,co_occurs_with,Yoshi's Island,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Mario & Luigi,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Luigi,Person,co_occurs_with,Mario & Luigi,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Peach,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Bowser,Person,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Super Mario,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Popeye,Location,https://www.mariowiki.com/Mario,cooccurrence
Nintendo,Organization,co_occurs_with,Popeye,Location,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Shigeru Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Shigeru Miyamoto,Person,co_occurs_with,Miyamoto,Person,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,North America,Location,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,North America,Location,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,American,Location,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Super Mario Bros,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Mario,Person,co_occurs_with,Super Mario Bros. 3,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,Super Mario Bros,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,co_occurs_with,Super Mario Bros. 3,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
Donkey Kong,Person,appears_in,Mario,Person,https://www.mariowiki.com/Mario,svo
Super Mario Bros,GameTitle,co_occurs_with,Super Mario,Person,https://www.mariowiki.com/Mario,cooccurrence
Super Mario Bros,GameTitle,co_occurs_with,Super Mario Bros. 3,GameTitle,https://www.mariowiki.com/Mario,cooccurrence
