private_predicate,predicate_slug,wikidata_pid,wikidata_uri,confidence,status
http://esilv.fr/mario/prop#coOccursWith,coOccursWith,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#saves,saves,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#kidnaps,kidnaps,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#defeats,defeats,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#enemyOf,enemyOf,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#appearsIn,appearsIn,P161,http://www.wikidata.org/prop/direct/P161,1.0,equivalent
http://esilv.fr/mario/prop#rules,rules,P6,http://www.wikidata.org/prop/direct/P6,1.0,sub_property
http://esilv.fr/mario/prop#locatedIn,locatedIn,P131,http://www.wikidata.org/prop/direct/P131,1.0,equivalent
http://esilv.fr/mario/prop#contains,contains,P150,http://www.wikidata.org/prop/direct/P150,1.0,equivalent
http://esilv.fr/mario/prop#isPartOf,isPartOf,P361,http://www.wikidata.org/prop/direct/P361,1.0,equivalent
http://esilv.fr/mario/prop#createdBy,createdBy,P170,http://www.wikidata.org/prop/direct/P170,1.0,equivalent
http://esilv.fr/mario/prop#developedBy,developedBy,P178,http://www.wikidata.org/prop/direct/P178,1.0,equivalent
http://esilv.fr/mario/prop#publishedBy,publishedBy,P123,http://www.wikidata.org/prop/direct/P123,1.0,equivalent
http://esilv.fr/mario/prop#features,features,P674,http://www.wikidata.org/prop/direct/P674,1.0,equivalent
http://esilv.fr/mario/prop#fights,fights,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#helps,helps,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#opposes,opposes,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#follows,follows,P155,http://www.wikidata.org/prop/direct/P155,1.0,equivalent
http://esilv.fr/mario/prop#precedes,precedes,P156,http://www.wikidata.org/prop/direct/P156,1.0,equivalent
http://esilv.fr/mario/prop#isRelatedTo,isRelatedTo,P1382,http://www.wikidata.org/prop/direct/P1382,1.0,sub_property
http://esilv.fr/mario/prop#ownedBy,ownedBy,P127,http://www.wikidata.org/prop/direct/P127,1.0,equivalent
http://esilv.fr/mario/prop#worksFor,worksFor,P108,http://www.wikidata.org/prop/direct/P108,1.0,equivalent
http://esilv.fr/mario/prop#collaboratedWith,collaboratedWith,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#uses,uses,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#transformsTo,transformsTo,â€”,â€”,0.0,no_match
http://esilv.fr/mario/prop#belongsTo,belongsTo,P361,http://www.wikidata.org/prop/direct/P361,1.0,sub_property
